RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_lgbm,prob_xgb,prob_mlp,prob_stacking,prob_final,top_3_fatores,faixa_risco,prob_experimental
RA-517,Aluno-517,3,Quartzo,5.880466583166668,0.6032,0.5665,0.573,0.4336,0.4124,Defasagem(−0.35) | Idade(+0.18) | age_fase_excess(+0.14),Médio,0.4617
RA-1039,Aluno-1039,2,Ametista,7.549644444400001,0.4532,0.5143,0.589,0.4646,0.4116,IPV(−0.24) | Defasagem(−0.20) | gap_Por_Ing(−0.19),Médio,0.4341
RA-1480,Aluno-1480,2,Ametista,7.09445,0.4914,0.4104,0.3141,0.2595,0.4111,IPV(−0.27) | Idade(+0.21) | Defasagem(−0.16),Médio,0.3896
RA-98,Aluno-98,7,Topázio,8.617450000000002,0.4647,0.5023,0.6179,0.4378,0.4106,Defasagem(−0.30) | Ing(−0.22) | gap_Por_Ing(−0.20),Médio,0.3851
RA-1626,Aluno-1626,6,Topázio,8.541085606066668,0.441,0.445,0.3445,0.2238,0.4099,Defasagem(−0.41) | IPS_z_faseAno(+0.20) | Ing(−0.20),Médio,0.3363
RA-1108,Aluno-1108,3,Agata,6.017215010400001,0.5603,0.5077,0.8362,0.6682,0.4092,Defasagem(−0.27) | Idade(+0.17) | IPV(−0.14),Médio,0.3943
RA-1320,Aluno-1320,0,Ametista,7.8845333333,0.4242,0.3753,0.3206,0.2156,0.409,gap_Mat_Por(−0.19) | Idade(+0.19) | Defasagem(−0.16),Médio,0.2608
RA-1623,Aluno-1623,6,Ametista,7.7609537037333345,0.5009,0.56,0.4191,0.2907,0.4089,Ing(−0.41) | Defasagem(−0.38) | Idade(+0.16),Médio,0.4314
RA-982,Aluno-982,1,Topázio,8.119860173100001,0.5072,0.4918,0.8543,0.695,0.4083,Idade(−0.62) | FaseIdeal_num(−0.15) | gap_Por_Ing(+0.14),Médio,0.4718
RA-859,Aluno-859,1,Topázio,8.5817909091,0.5062,0.6028,0.6163,0.5269,0.4075,Idade(−0.87) | gap_Por_Ing(+0.23) | FaseIdeal_num(−0.18),Médio,0.5551
RA-346,Aluno-346,3,Ametista,7.761749603200001,0.4631,0.5213,0.3788,0.284,0.4059,Defasagem(−0.42) | Ing(−0.24) | IPV(+0.21),Médio,0.401
RA-403,Aluno-403,3,Topázio,8.008488888833334,0.5009,0.5244,0.8258,0.6461,0.4059,Defasagem(−0.43) | Ing(−0.33) | gap_Por_Ing(−0.16),Médio,0.4227
RA-1027,Aluno-1027,2,Topázio,8.220866666700001,0.5577,0.6113,0.6196,0.4849,0.4053,Defasagem(−0.39) | IPV(+0.23) | Idade(+0.21),Médio,0.5128
RA-178,Aluno-178,5,Ametista,7.234168831200001,0.594,0.6508,0.3489,0.3835,0.4031,Defasagem(−0.36) | Ing(−0.22) | IPV(−0.15),Médio,0.4965
RA-536,Aluno-536,3,Ametista,7.7704681818,0.4208,0.4398,0.3084,0.2856,0.402,Defasagem(−0.40) | gap_Por_Ing(−0.23) | gap_Mat_Por(−0.18),Médio,0.372
RA-166,Aluno-166,7,Topázio,8.243183333333334,0.4915,0.5176,0.4154,0.2965,0.4019,Defasagem(−0.35) | Ing(−0.26) | gap_Por_Ing(−0.18),Médio,0.4381
RA-1441,Aluno-1441,1,Topázio,8.961646169800002,0.4622,0.4691,0.4933,0.3033,0.4015,Idade(−0.91) | gap_Por_Ing(+0.22) | FaseIdeal_num(−0.18),Médio,0.4105
RA-215,Aluno-215,5,Ametista,7.045258874400002,0.477,0.6194,0.3428,0.3619,0.4013,Defasagem(−0.38) | Ing(−0.32) | IAA_decile_fase(+0.17),Médio,0.4613
RA-1381,Aluno-1381,0,Topázio,9.038200000000002,0.4171,0.4435,0.7529,0.4515,0.3999,Idade(−0.75) | IPS_z_faseAno(+0.22) | FaseIdeal_num(−0.18),Médio,0.3711
RA-656,Aluno-656,3,Agata,6.668152941266667,0.5021,0.4888,0.3817,0.2878,0.3998,Defasagem(−0.35) | Idade(+0.16) | IPV(−0.16),Médio,0.39
RA-1367,Aluno-1367,0,Topázio,8.427286956500001,0.4855,0.5329,0.7599,0.4896,0.3993,Idade(−0.77) | FaseIdeal_num(−0.18) | Defasagem(−0.17),Médio,0.4777
RA-123,Aluno-123,6,Agata,6.887248015866668,0.63,0.6778,0.7984,0.6803,0.3987,Ing(−0.35) | IPV(−0.22) | Defasagem(−0.15),Médio,0.5436
RA-247,Aluno-247,4,Agata,6.646485739800001,0.5635,0.5161,0.2527,0.2034,0.3979,Defasagem(−0.45) | Ing(−0.21) | Idade(+0.19),Médio,0.4229
RA-1139,Aluno-1139,3,Agata,6.906276357600001,0.4221,0.4237,0.27,0.1905,0.3973,Defasagem(−0.40) | IPV(−0.26) | Idade(+0.20),Médio,0.3151
RA-975,Aluno-975,0,Ametista,7.1463666667000005,0.4946,0.5873,0.5789,0.4551,0.3973,Idade(−0.84) | gap_Por_Ing(+0.22) | IAA_decile_fase(+0.15),Médio,0.4731
RA-1063,Aluno-1063,2,Ametista,7.279250000000001,0.4469,0.4757,0.6033,0.4552,0.3952,IPV(−0.24) | gap_Mat_Por(−0.21) | pedra_delta_1(+0.20),Médio,0.4177
RA-630,Aluno-630,2,Agata,6.879985507300001,0.5376,0.5371,0.3067,0.2278,0.3952,Defasagem(−0.44) | Idade(+0.23) | gap_Mat_Por(−0.14),Médio,0.4542
RA-106,Aluno-106,6,Ametista,7.721664285733334,0.4991,0.6117,0.2709,0.2988,0.395,Defasagem(−0.46) | Idade(+0.21) | gap_Mat_Por(−0.11),Médio,0.4275
RA-1189,Aluno-1189,5,Ametista,7.6486387164,0.4344,0.4299,0.8427,0.6174,0.3949,IPV(−0.34) | Ing(−0.29) | IPS_z_faseAno(+0.19),Médio,0.3571
RA-986,Aluno-986,1,Topázio,8.2603406926,0.4972,0.4692,0.6078,0.452,0.3947,Idade(−0.55) | FaseIdeal_num(−0.16) | Defasagem(−0.16),Médio,0.4368
RA-236,Aluno-236,4,Agata,6.980833740133334,0.4499,0.4773,0.3972,0.2769,0.3942,Defasagem(−0.34) | Ing(−0.29) | Idade(+0.13),Médio,0.362
RA-597,Aluno-597,2,Ametista,7.843291097300001,0.3822,0.3565,0.4972,0.3061,0.3935,Defasagem(−0.24) | gap_Por_Ing(−0.19) | Idade(+0.16),Médio,0.2866
RA-1214,Aluno-1214,7,Topázio,8.5902971362,0.4926,0.5075,0.7276,0.5097,0.3933,Defasagem(−0.34) | Ing(−0.31) | IPS_z_faseAno(+0.24),Médio,0.4288
RA-42,Aluno-42,6,Ametista,7.656628769866667,0.5097,0.5059,0.3272,0.3185,0.3929,Ing(−0.28) | IPV(−0.26) | gap_Mat_Por(−0.18),Médio,0.3656
RA-946,Aluno-946,0,Agata,6.677723809500001,0.4379,0.4304,0.2602,0.172,0.3927,Idade(−0.83) | FaseIdeal_num(−0.16) | Defasagem(−0.10),Médio,0.3238
RA-1121,Aluno-1121,3,Topázio,8.407166666633334,0.556,0.5636,0.4392,0.3452,0.3921,Defasagem(−0.39) | IPV(+0.22) | Idade(+0.19),Médio,0.4718
RA-928,Aluno-928,1,Topázio,8.8733666667,0.5138,0.5769,0.3225,0.2748,0.3921,Idade(−0.86) | Defasagem(−0.18) | FaseIdeal_num(−0.18),Médio,0.5215
RA-1352,Aluno-1352,0,Topázio,8.289950000000001,0.4921,0.5226,0.5305,0.3978,0.3921,Idade(−0.87) | IPS_z_faseAno(+0.20) | FaseIdeal_num(−0.18),Médio,0.4669
RA-1314,Aluno-1314,0,Topázio,8.239799999999999,0.4261,0.447,0.6013,0.3518,0.3917,Idade(−0.70) | Defasagem(−0.18) | gap_Por_Ing(+0.17),Médio,0.4385
RA-667,Aluno-667,3,Ametista,7.177130604266668,0.465,0.4619,0.7681,0.5197,0.3911,IPV(−0.27) | Defasagem(−0.27) | Idade(+0.16),Médio,0.3686
RA-900,Aluno-900,1,Topázio,8.802003030200002,0.5089,0.5306,0.7785,0.5432,0.3902,Idade(−0.89) | IPS_z_faseAno(+0.20) | FaseIdeal_num(−0.18),Médio,0.45
RA-814,Aluno-814,2,Ametista,7.971648484800001,0.4394,0.3858,0.5041,0.3464,0.3898,Defasagem(−0.30) | gap_Por_Ing(−0.26) | IPV(−0.21),Médio,0.3609
RA-1499,Aluno-1499,2,Ametista,7.914800000000001,0.3769,0.3656,0.3305,0.2015,0.3896,Defasagem(−0.32) | gap_Por_Ing(−0.23) | IPV(−0.22),Médio,0.2837
RA-961,Aluno-961,1,Agata,6.529417908900001,0.5422,0.5563,0.8434,0.6742,0.3892,IPV(−0.20) | Defasagem(−0.16) | Idade(+0.15),Médio,0.4663
RA-860,Aluno-860,1,Topázio,8.7738666667,0.4894,0.5237,0.7749,0.5903,0.3891,Idade(−0.83) | FaseIdeal_num(−0.17) | Defasagem(−0.16),Médio,0.4899
RA-921,Aluno-921,0,Ametista,7.2838203209,0.4716,0.4793,0.3562,0.2799,0.389,Idade(−0.84) | IAA_decile_fase(+0.18) | pedra_delta_1(+0.16),Médio,0.4331
RA-952,Aluno-952,1,Topázio,8.853624242300002,0.4771,0.4916,0.4441,0.3095,0.389,Idade(−0.88) | FaseIdeal_num(−0.17) | Defasagem(−0.15),Médio,0.4225
RA-626,Aluno-626,3,Agata,6.407590225500001,0.4109,0.3843,0.727,0.4721,0.3881,Defasagem(−0.34) | IPV(−0.17) | Idade(+0.16),Médio,0.2789
RA-1038,Aluno-1038,2,Ametista,7.9646385965,0.4069,0.406,0.8114,0.5587,0.3877,Defasagem(−0.33) | gap_Por_Ing(−0.26) | IPV(−0.21),Médio,0.3823
RA-562,Aluno-562,3,Topázio,8.392733333333334,0.4919,0.5449,0.8121,0.6607,0.3877,Defasagem(−0.36) | Ing(−0.23) | IPV(−0.21),Médio,0.4762
RA-81,Aluno-81,6,Topázio,8.256566666666668,0.4773,0.4641,0.3635,0.3794,0.3874,Defasagem(−0.42) | gap_Por_Ing(−0.17) | gap_Mat_Por(−0.16),Médio,0.3478
RA-1557,Aluno-1557,3,Topázio,8.228500000033334,0.514,0.6172,0.4484,0.3241,0.3866,Defasagem(−0.43) | Ing(−0.34) | gap_Por_Ing(−0.16),Médio,0.4456
RA-1462,Aluno-1462,2,Ametista,7.6243666666,0.4799,0.5099,0.5622,0.3887,0.3863,IPV(−0.32) | gap_Por_Ing(−0.18) | Idade(+0.18),Médio,0.3975
RA-787,Aluno-787,0,Ametista,7.73495,0.4248,0.4312,0.546,0.4015,0.3861,IPV(−0.25) | Idade(+0.18) | gap_Mat_Por(−0.17),Médio,0.3829
RA-26,Aluno-26,8,,,0.5883,0.6883,0.8054,0.531,0.3854,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.399
RA-1225,Aluno-1225,8,,,0.59,0.6988,0.3166,0.2447,0.3854,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.4057
RA-797,Aluno-797,2,Agata,6.597315151500001,0.3977,0.374,0.4675,0.3753,0.3851,IPV(−0.22) | gap_Mat_Por(−0.17) | Defasagem(−0.17),Médio,0.28
RA-1581,Aluno-1581,4,Agata,6.9787022855,0.5087,0.5408,0.5285,0.371,0.3848,Ing(−0.25) | Defasagem(−0.18) | Idade(+0.18),Médio,0.4582
RA-496,Aluno-496,3,Agata,6.726607507733334,0.4597,0.4227,0.4901,0.3167,0.3841,Defasagem(−0.35) | Ing(−0.18) | IPV(−0.14),Médio,0.3057
RA-414,Aluno-414,3,Ametista,7.187625925933334,0.5092,0.5359,0.6493,0.5303,0.3837,Defasagem(−0.36) | IAA_decile_fase(+0.22) | IPV(−0.18),Médio,0.4616
RA-1362,Aluno-1362,0,Ametista,7.709200000000001,0.4311,0.3663,0.5843,0.3401,0.3834,Idade(−0.55) | FaseIdeal_num(−0.15) | Defasagem(−0.15),Médio,0.3275
RA-960,Aluno-960,1,Quartzo,5.286047619,0.4539,0.4487,0.2558,0.1635,0.3821,IPV(−0.21) | gap_Mat_Por(−0.18) | Idade(+0.17),Médio,0.3539
RA-1515,Aluno-1515,2,Quartzo,5.832133333300001,0.4944,0.5158,0.4766,0.326,0.3815,IPV(−0.18) | age_fase_excess(−0.18) | Idade(+0.18),Médio,0.4223
RA-428,Aluno-428,4,Ametista,7.534949122800001,0.4317,0.4681,0.2962,0.2327,0.3813,Defasagem(−0.38) | Ing(−0.21) | Idade(+0.15),Médio,0.3328
RA-943,Aluno-943,1,Topázio,8.965033333300001,0.5148,0.5109,0.656,0.45,0.3813,Idade(−0.85) | Defasagem(−0.18) | FaseIdeal_num(−0.17),Médio,0.4924
RA-926,Aluno-926,1,Ametista,7.7830787878,0.447,0.4594,0.5533,0.4362,0.3811,IPV(−0.33) | gap_Por_Ing(−0.23) | Idade(+0.17),Médio,0.4468
RA-899,Aluno-899,1,Topázio,8.425024769300002,0.4768,0.5131,0.5014,0.3752,0.381,Idade(−0.71) | Defasagem(−0.18) | FaseIdeal_num(−0.16),Médio,0.4213
RA-1552,Aluno-1552,3,Ametista,7.443301282066667,0.3565,0.3709,0.294,0.2086,0.3808,Defasagem(−0.30) | IPV(−0.21) | age_fase_excess(−0.17),Médio,0.2437
RA-1353,Aluno-1353,0,Agata,6.454700000000001,0.4892,0.5134,0.2723,0.2143,0.3808,IPV(−0.18) | age_fase_excess(−0.17) | Idade(+0.15),Médio,0.4036
RA-1360,Aluno-1360,0,Agata,6.8480623189,0.4516,0.4536,0.3349,0.2487,0.3807,Idade(−0.73) | Defasagem(−0.17) | FaseIdeal_num(−0.14),Médio,0.4105
RA-1181,Aluno-1181,5,Agata,6.2015816738666665,0.4982,0.4685,0.6849,0.4991,0.3797,Defasagem(−0.31) | Ing(−0.29) | IPV(−0.14),Médio,0.3275
