RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_composite,faixa_risco_composite
RA-1436,Aluno-1436,1,Ametista,7.589914648100001,0.5418,Médio
RA-367,Aluno-367,4,Ametista,7.209434085200001,0.5411,Médio
RA-1402,Aluno-1402,1,Topázio,8.588040909100002,0.541,Médio
RA-1578,Aluno-1578,4,Ametista,7.880605848,0.5403,Médio
RA-632,Aluno-632,3,Ametista,7.515491249000001,0.539,Médio
RA-490,Aluno-490,3,Ametista,7.368084290266667,0.5381,Médio
RA-359,Aluno-359,4,Ametista,7.492006349133335,0.5378,Médio
RA-1136,Aluno-1136,3,Quartzo,5.458179831866667,0.5375,Médio
RA-796,Aluno-796,2,Ametista,7.052457703200001,0.5355,Médio
RA-1502,Aluno-1502,2,Agata,6.886091025600001,0.5353,Médio
RA-1504,Aluno-1504,2,Agata,6.057060605999999,0.5352,Médio
RA-111,Aluno-111,5,Topázio,8.667693939400001,0.5351,Médio
RA-237,Aluno-237,5,Ametista,7.931384271366667,0.535,Médio
RA-425,Aluno-425,4,Topázio,9.0166166667,0.5344,Médio
RA-716,Aluno-716,1,Agata,6.2372943675000005,0.5336,Médio
RA-250,Aluno-250,4,Topázio,9.049892592566668,0.5336,Médio
RA-1495,Aluno-1495,2,Topázio,8.4845030302,0.5325,Médio
RA-603,Aluno-603,3,Agata,6.942277777866667,0.5324,Médio
RA-500,Aluno-500,3,Topázio,8.077708333333334,0.532,Médio
RA-1440,Aluno-1440,1,Ametista,7.469102691500001,0.5318,Médio
RA-113,Aluno-113,5,Ametista,7.043536903066667,0.5312,Médio
RA-700,Aluno-700,1,Ametista,7.005745454500001,0.5311,Médio
RA-1624,Aluno-1624,6,Ametista,7.743213492066667,0.5307,Médio
RA-484,Aluno-484,3,Quartzo,3.8354776573333336,0.5306,Médio
RA-1461,Aluno-1461,2,Agata,6.871961904800001,0.5305,Médio
RA-855,Aluno-855,2,Topázio,8.578533333400001,0.5302,Médio
RA-605,Aluno-605,3,Agata,6.0175222222,0.5295,Médio
RA-1034,Aluno-1034,2,Topázio,8.0333666666,0.5294,Médio
RA-897,Aluno-897,0,Quartzo,5.2212050505,0.5291,Médio
RA-1098,Aluno-1098,3,Agata,6.5744562514,0.5289,Médio
RA-1227,Aluno-1227,7,Quartzo,4.8446,0.5288,Médio
RA-1230,Aluno-1230,7,Quartzo,4.7612000000000005,0.5285,Médio
RA-91,Aluno-91,6,Ametista,7.426704761933335,0.5284,Médio
RA-1649,Aluno-1649,9,,,0.5282,Médio
RA-1641,Aluno-1641,9,,,0.5282,Médio
RA-1660,Aluno-1660,9,,,0.5282,Médio
